,gene,logfc,pvalue,stat
FO538757.2,FO538757.2,0.194849291839834,1.82838537223928e-05,4.28487916283867
AP006222.2,AP006222.2,-0.0348911410450086,0.114668827791346,-1.57755086561776
RP11-206L10.9,RP11-206L10.9,-0.00311838004824062,0.682024573326232,-0.40970198560753
LINC00115,LINC00115,-0.062943523749349,0.161901413628141,-1.39870516871705
FAM41C,FAM41C,-0.0808855685304194,0.507255361506486,-0.663117409427755
RP11-54O7.1,RP11-54O7.1,-0.00470098162229183,0.721327125610983,-0.356685681901391
RP11-54O7.3,RP11-54O7.3,1.46791729632767,1.3215707392296e-23,10.0141016420262
SAMD11,SAMD11,1.09961959285173,1.07021313189325e-83,19.3831815565842
NOC2L,NOC2L,-0.188867560430025,1.07568282125679e-13,-7.43125969547705
KLHL17,KLHL17,0.00135573363619626,0.529927522897546,0.628116655640193
HES4,HES4,0.388495151867088,2.81817768192067e-23,9.93893718974768
ISG15,ISG15,2.12068622171776,0,40.8698581784504
AGRN,AGRN,0.232240764690267,3.12022706156303e-08,5.53455320583359
C1orf159,C1orf159,0.221586828360532,8.50530979968697e-07,4.92340057762865
SDF4,SDF4,0.290161439143567,3.24651143274901e-30,11.4220064000579
B3GALT6,B3GALT6,0.047732556724113,0.11952836169492,1.55675627664424
UBE2J2,UBE2J2,0.0238845062863528,0.325115247188208,0.984000540415374
SCNN1D,SCNN1D,-0.125442926014028,0.263835643989307,-1.11737119975251
ACAP3,ACAP3,0.17966953405731,5.2064092795094e-07,5.01854575964411
PUSL1,PUSL1,-0.0342078486053463,0.28496626124152,-1.06922951731395
CPSF3L,CPSF3L,-0.123811091692864,7.76711228715539e-06,-4.47150478174256
CPTP,CPTP,0.0204238496795415,0.0936913455523968,1.6762392162709
DVL1,DVL1,-0.0115346826124711,0.243989494423118,-1.16507287771093
AURKAIP1,AURKAIP1,-0.183137568888251,1.03390771312649e-06,-4.88507255976846
CCNL2,CCNL2,-0.122333117379373,3.23703485394055e-05,-4.15611602195458
MRPL20,MRPL20,-0.142310980613776,1.23198428859169e-05,-4.37184952039112
RP4-758J18.13,RP4-758J18.13,0.0006816899918743,0.882574514683397,0.147706356782258
ANKRD65,ANKRD65,0.51292946867704,1.48696352582825e-08,5.66306090401897
ATAD3B,ATAD3B,-0.384468195050588,5.64921327190544e-44,-13.9081885393588
ATAD3A,ATAD3A,-0.198408901326,9.52045473453823e-14,-7.44739044673793
SSU72,SSU72,-0.447102795298559,6.28486129524058e-42,-13.5669921470002
RP5-832C2.5,RP5-832C2.5,-0.151234025076553,0.000116690176462154,-3.85297737523089
C1orf233,C1orf233,-0.0479808555784656,0.335239186821503,-0.9636145949145
RP11-345P4.9,RP11-345P4.9,-0.066642589515613,0.0341812277590653,-2.11792726918468
MIB2,MIB2,-0.0750473004106849,0.0314853279354357,-2.15088436465513
MMP23B,MMP23B,0.466823591470081,4.19066377902418e-16,8.13292139650108
CDK11B,CDK11B,-0.161002420010657,1.43546721824465e-09,-6.05145125538229
RP11-345P4.10,RP11-345P4.10,-0.047510612447695,0.227741430839996,-1.20619728422076
SLC35E2B,SLC35E2B,-0.0912360275894287,0.0024876037617964,-3.02484524484542
CDK11A,CDK11A,0.0175965143378395,0.553839413452647,0.592016688205289
SLC35E2,SLC35E2,-0.0632234182300775,0.119114494187363,-1.55850115596169
NADK,NADK,-0.000148254648132928,0.984536393692766,-0.0193819698379305
GNB1,GNB1,-0.0105457509622061,0.663952576669598,-0.434462560435058
