,gene,logfc,pvalue,stat
FO538757.2,FO538757.2,0.172276033880126,0.401702143716217,0.838585155361541
AP006222.2,AP006222.2,0.0851624647987826,0.46865381517007,0.724671122230998
RP11-206L10.9,RP11-206L10.9,-0.0680665337704834,0.832824289088719,-0.211080714123286
LINC00115,LINC00115,0.220672868376141,0.486454287507932,0.695959349716597
FAM41C,FAM41C,0.326164984333183,0.387493239755443,0.864172312226444
NOC2L,NOC2L,0.224780122111618,0.0996014831418346,1.64678870810652
PLEKHN1,PLEKHN1,0.279088414515535,0.390125220355152,0.859390298452248
HES4,HES4,0.568056732337652,0.185692655260799,1.32342929422686
ISG15,ISG15,2.68190417873581e-05,0.982326928451951,0.0221517219247905
C1orf159,C1orf159,0.332742545951574,0.385755784567139,0.867339929939145
TNFRSF18,TNFRSF18,0.307021951151431,0.0445599639724961,2.00878477123344
TNFRSF4,TNFRSF4,0.713041657602666,0.000117849991548578,3.85055597365805
SDF4,SDF4,0.045463477657156,0.738171567018245,0.334275644869595
UBE2J2,UBE2J2,-0.106403385349616,0.372371748726574,-0.892039522554157
ACAP3,ACAP3,0.222768061496711,0.597407431312146,0.528132418817087
PUSL1,PUSL1,1.65865263137225e-06,0.998575098083424,0.00178585066559043
CPSF3L,CPSF3L,0.137485623167614,0.328833266729068,0.976466650172522
CPTP,CPTP,-0.0352395924017336,0.551446213071251,-0.595594408306821
AURKAIP1,AURKAIP1,-0.0274431032265496,0.758229417166973,-0.307806707791964
CCNL2,CCNL2,0.278599210242484,0.054494449541305,1.9228853536891
MRPL20,MRPL20,-0.0359261441908349,0.734513587311483,-0.339127626574363
ATAD3B,ATAD3B,0.603075974820627,0.0260328482528793,2.22572140261027
ATAD3A,ATAD3A,0.181825266705552,0.57671275849955,0.558192768349506
SSU72,SSU72,0.120275424056123,0.253809067758901,1.14114624936794
RP5-832C2.5,RP5-832C2.5,0.425658535250784,0.182883894357695,1.33192786229923
RP11-345P4.9,RP11-345P4.9,0.338347181383145,0.231606769914287,1.1962301200625
