,gene,logfc,pvalue,stat
A1BG,A1BG,0.11035309604133,0.402688802557943,0.836828806870146
A1BG-AS1,A1BG-AS1,1.03777693570991,7.64546628988851e-06,4.47487881681632
A1CF,A1CF,1.10670290814546,3.63048296103074e-05,4.12981940917571
A2M,A2M,4.01729790736323,6.13412175524269e-32,11.7618958766422
A2ML1,A2ML1,1.45598175615867,2.08031446235136e-18,8.75284982060794
AAAS,AAAS,0.325975373516966,0.0294339731027832,2.17762491465189
AACS,AACS,0.283791347772603,0.0486464398726213,1.97167744646861
AADAT,AADAT,0.160284941857959,0.210382648695976,1.25251394909716
AAED1,AAED1,-0.708032601379176,0.00373148100332779,-2.90001223009066
AAGAB,AAGAB,-0.0660202357981696,0.170076638777581,-1.37195759593818
AAK1,AAK1,0.618355357944341,3.21963983939702e-11,6.63615833891783
AAMDC,AAMDC,0.163735915962554,0.168207884342532,1.37798511352686
AAMP,AAMP,-0.905759527386649,0.000528099523909959,-3.46608335716204
AAR2,AAR2,-0.000559844418337391,0.912333737010421,-0.110095373822681
AARD,AARD,1.44992689363299,1.58582320539539e-09,6.03538684606854
AARS,AARS,-0.578178852396055,6.0886845530071e-07,-4.9883827543374
AARS2,AARS2,0.996348764977781,2.01066944065959e-05,4.26370268623537
AARSD1,AARSD1,-0.310438213944754,0.00247314069074646,-3.02660847087588
AASDH,AASDH,1.2582292835461,1.0835759072242e-10,6.4548060426135
AASDHPPT,AASDHPPT,-0.00834679305542618,0.498499588875682,-0.676852429665447
AASS,AASS,1.12894332697901,3.09081317874302e-25,10.3789732545255
AATF,AATF,-1.5641006587873,1.19771215882846e-10,-6.43962224661551
ABAT,ABAT,-0.0919770326628168,0.520666262788001,-0.642318718715899
ABCA1,ABCA1,1.53965317539824,1.33902725231313e-42,13.6798858565498
ABCA10,ABCA10,1.71719267736997,7.50130322219509e-10,6.15513613386399
ABCA11P,ABCA11P,0.377547918469119,0.101024365913629,1.63990766973042
ABCA13,ABCA13,1.44322754411719,1.9578337653281e-12,7.03745454234681
ABCA5,ABCA5,0.743662796947887,2.49779605466481e-09,5.96160024605666
ABCA6,ABCA6,4.03164032448622,3.06024314304749e-101,21.3613223895078
ABCA8,ABCA8,2.85944565504861,9.3178128909315e-31,11.5299681971225
ABCA9,ABCA9,2.26584422602088,3.60385733970778e-58,16.0786080339354
ABCB10,ABCB10,-0.701085426611189,0.0268526122421397,-2.21365367069901
ABCB5,ABCB5,1.57558757692883,1.06178043414449e-20,9.32969295892461
ABCB6,ABCB6,0.586376891502787,0.000291393008495549,3.62283384800172
ABCB7,ABCB7,0.0498605344274699,0.680501026758582,0.411779529494267
ABCB8,ABCB8,0.311789002801776,0.261344610763171,1.12321872751189
ABCC1,ABCC1,0.269233367337203,0.031746114652032,2.14759284084704
ABCC10,ABCC10,0.372998248456529,0.0139154916343898,2.45943752131044
ABCC13,ABCC13,0.443823362341584,0.0361981872545488,2.09469417644094
ABCC2,ABCC2,1.60601417884782,2.20725472716042e-07,5.18097804610017
ABCC3,ABCC3,1.28874199921833,3.66694990810261e-09,5.89855668574606
ABCC4,ABCC4,0.000792933454154936,0.934366176069812,0.0823527906572774
ABCC5,ABCC5,0.708418902057151,2.57362223372902e-07,5.15226266204858
ABCC9,ABCC9,0.836894865510816,7.00702009560362e-21,9.37364464938283
ABCD2,ABCD2,3.94535635945599,2.69000295557294e-72,17.9821214561313
ABCD3,ABCD3,0.212667529098562,0.328029966907957,0.978089689321508
ABCD4,ABCD4,0.461970822600263,0.0077683932949587,2.66197376506534
ABCE1,ABCE1,-0.474156482578933,4.04434707462609e-05,-4.10493149731795
ABCF1,ABCF1,-0.103358770079525,0.349055883893057,-0.936422138476518
ABCF2,ABCF2,0.398841053804468,0.0013458170993239,3.20602625168895
ABCF3,ABCF3,-0.0552512716074279,0.568233217216359,-0.57065545867334
ABCG1,ABCG1,1.80008181930596,3.65765674361374e-07,5.08596283730253
ABHD10,ABHD10,-0.182928720523332,0.2164079865039,-1.23613607736582
ABHD11,ABHD11,1.05530343969406,1.46967002012796e-07,5.25631934685417
ABHD12,ABHD12,0.0812806139979194,0.389694465911652,0.860171584377231
ABHD13,ABHD13,0.731638250420958,0.000157810849581178,3.77844475771381
ABHD14A,ABHD14A,-0.431429371074641,0.164458438463934,-1.39023200249928
ABHD14A-ACY1,ABHD14A-ACY1,-0.229484962374564,0.351420954267565,-0.931836643287317
ABHD14B,ABHD14B,0.0658008724183012,0.547257539658409,0.601874709995845
ABHD15,ABHD15,1.05611430562488,6.18273899129426e-07,4.98541989990298
ABHD16A,ABHD16A,0.0200860364792452,0.509903631687025,0.658987755222999
ABHD17B,ABHD17B,0.264681727148899,0.0475216553304407,1.98162117569853
ABHD17C,ABHD17C,-1.01697733052015,0.000210174144798187,-3.70646273439223
ABHD2,ABHD2,0.26548155989806,0.00601703508013999,2.74685161302565
ABHD3,ABHD3,1.96833282054633,1.09888193888266e-11,6.79291754466225
ABHD4,ABHD4,0.153673729020091,0.0862330723299589,1.71561204570787
ABHD5,ABHD5,0.793801750075768,9.41127393372962e-08,5.3377391214662
ABHD6,ABHD6,0.00547862847122996,0.857749551145252,0.179239625128934
ABI1,ABI1,0.715838964752928,0.0414152668358066,2.03934841523532
ABI2,ABI2,0.463123143467853,1.0713572091293e-06,4.87805745467191
ABI3BP,ABI3BP,-1.17920927388254,9.26262218059933e-07,-4.90669007559969
ABL1,ABL1,-0.980880084632012,5.88277342939275e-11,-6.54668634401132
ABL2,ABL2,0.668187917557954,1.41769340091749e-11,6.75608594799201
ABLIM1,ABLIM1,1.46310964007113,1.40840900084039e-09,6.05451551582976
ABLIM3,ABLIM3,-0.349573414843272,0.110983857169943,-1.59378652269457
ABR,ABR,-0.270060186334402,0.488155948707925,-0.693244782660126
ABRA,ABRA,0.677172476520421,0.000777268102447789,3.36076541679508
ABRACL,ABRACL,-1.56819606822211,1.71095317813429e-10,-6.38527000171998
ABT1,ABT1,0.119903850605691,0.563138790177564,0.578185643789459
ABTB2,ABTB2,-0.649625400430439,0.00298329344671635,-2.96945413361087
ACAA1,ACAA1,0.247655951550579,0.0263565212100787,2.22091792068354
ACAA2,ACAA2,0.183148986010218,0.0915010718404418,1.68753215778754
ACACA,ACACA,0.507379876296615,1.41040141693109e-06,4.823529152444
ACACB,ACACB,3.6623438232797,8.10349034870253e-88,19.86544246503
ACAD10,ACAD10,1.0005540530665,0.00186570758900568,3.11081662558568
ACAD11,ACAD11,0.518660976167495,0.000376902900737873,3.55574961663262
ACAD8,ACAD8,0.178274290363303,0.0862287958602236,1.71563539581493
ACAD9,ACAD9,-0.0245944491709915,0.477160054248528,-0.710877654384768
ACADM,ACADM,-0.69747038290364,0.00283761631450103,-2.98480232892019
ACADSB,ACADSB,1.07063547213074,1.98780184568893e-12,7.03533685164862
ACADVL,ACADVL,1.15693860335802,7.35749247201949e-28,10.940766854261
ACAP2,ACAP2,-0.0875831264346977,0.357755409869164,-0.919650534140207
ACAP3,ACAP3,0.290356638665784,0.390829247576921,0.858114488860564
ACAT1,ACAT1,-0.460867126096046,0.00906290681639925,-2.60967201792359
ACAT2,ACAT2,0.169347838572431,0.231189486643669,1.1973004049864
ACBD3,ACBD3,-0.602955242477255,9.04177349837711e-09,-5.74778944269541
ACBD4,ACBD4,1.01872297688491,2.60555150610504e-06,4.69969122052861
ACBD5,ACBD5,0.450393475805918,0.000628134286257384,3.41916584909654
ACBD6,ACBD6,-0.530952058287602,0.0137928960008127,-2.46261232944142
ACBD7,ACBD7,1.40218935512251,4.26006809352646e-17,8.40550984652691
ACCS,ACCS,0.74796550757386,0.000108522488098148,3.87070177729914
ACD,ACD,-0.388932403682536,0.120117722379001,-1.55427966302443
ACER3,ACER3,0.810627374390522,1.36256696940407e-05,4.34980813493274
ACIN1,ACIN1,0.554559078957462,1.58328613951759e-08,5.65228518000482
ACLY,ACLY,0.171924681056515,0.0695773972904992,1.81465205592411
ACN9,ACN9,0.00116659264233806,0.867600334725968,0.166707333837989
ACO1,ACO1,0.0647555004648974,0.000988921890928706,3.29365957707668
ACO2,ACO2,0.0842227747314365,0.265656258379083,1.11312148275895
ACOT1,ACOT1,0.551686857267012,0.015226408378396,2.42694870800853
ACOT13,ACOT13,0.199166502508923,0.0343772534878289,2.11561866033698
ACOT2,ACOT2,0.28565230378585,0.00755364183577274,2.67139625419594
ACOT7,ACOT7,-1.44755830449591,5.13654235248458e-07,-5.0211410416518
ACOT8,ACOT8,-0.571419526015832,0.0113838029152348,-2.53069117645364
