,gene,logfc,pvalue,stat
A1BG,A1BG,0.0990675639322208,0.779355785212615,0.280158655348489
A1BG-AS1,A1BG-AS1,0.889886604535747,9.46433462253062e-05,3.90392953717168
A1CF,A1CF,1.02698584450982,0.000457434643125362,3.50451800027584
A2M,A2M,3.00386769677223,1.08342010810325e-28,11.1130918460264
A2ML1,A2ML1,1.34606952583652,4.10619727819352e-16,8.13538840511917
AAAS,AAAS,0.498228095148344,0.255697808784748,1.13661848588243
AACS,AACS,0.200631415026312,0.167397559011436,1.38061438163322
AADAT,AADAT,-0.0236983784613605,0.505657482317054,-0.665614583770862
AAED1,AAED1,-0.882798823030522,0.00104972483304057,-3.27684902387363
AAGAB,AAGAB,-0.0561505043716339,0.310366182134661,-1.01445397135251
AAK1,AAK1,0.485926241507474,1.88045831283644e-07,5.21078247288069
AAMDC,AAMDC,0.120344267537327,0.371930749910647,0.892862614573231
AAMP,AAMP,-1.0127887967161,4.5950336907485e-05,-4.07532393737123
AAR2,AAR2,0.0391766215642469,0.519636959250682,0.643905123449093
AARD,AARD,1.35036658680652,4.34552633243069e-10,6.24108261802392
AARS,AARS,-0.673319854021041,7.99077016139691e-10,-6.14511082732372
AARS2,AARS2,0.43075123699737,0.00310725540165798,2.9569231614442
AARSD1,AARSD1,-0.453406398817706,0.0317275022473144,-2.14782698771541
AASDH,AASDH,1.24248145085195,2.32586232787409e-08,5.5858303288314
AASDHPPT,AASDHPPT,-0.0662656695111331,0.284739493060047,-1.069733032926
AASS,AASS,1.01243571569055,5.17983944171177e-20,9.16020589034063
AATF,AATF,-1.50234711482584,2.48956682556988e-11,-6.67398051679966
ABAT,ABAT,-0.361259651168056,0.00101380479680942,-3.28666744809085
ABCA1,ABCA1,1.38423244710689,1.3683422854804e-35,12.4517370589538
ABCA10,ABCA10,1.66177477847043,6.3976839094806e-09,5.80601603089942
ABCA11P,ABCA11P,0.218616068897924,0.216569849265242,1.23570066772793
ABCA13,ABCA13,1.17148446508986,4.39285158857415e-10,6.23938835229375
ABCA5,ABCA5,0.677432613158525,5.8498649785609e-07,4.99610884983851
ABCA6,ABCA6,3.87047225107848,8.87341927370765e-97,20.8758725224969
ABCA8,ABCA8,3.0868663155024,1.88562000396582e-28,11.0635141389711
ABCA9,ABCA9,2.16397865631938,1.77742310400591e-51,15.0938566155637
ABCB10,ABCB10,-0.926111900209067,0.00496053735269006,-2.80958529022812
ABCB5,ABCB5,1.45773512456097,5.42800763822399e-18,8.64399679861506
ABCB6,ABCB6,0.392657177995568,0.0309206681134335,2.15809214811829
ABCB7,ABCB7,-0.00140717429417552,0.951719086372534,-0.0605481269455925
ABCB8,ABCB8,0.145305622988238,0.568121290122965,0.570820551845821
ABCC1,ABCC1,0.12962858704773,0.121252288823834,1.54953864618075
ABCC10,ABCC10,0.169585962619334,0.244688284417819,1.16334813249263
ABCC13,ABCC13,0.3651722851536,0.12075714526642,1.5516034161415
ABCC2,ABCC2,1.45330698396995,1.71550170173741e-06,4.78433990118301
ABCC3,ABCC3,0.607105642563274,5.50843225596992e-05,4.03293584153911
ABCC4,ABCC4,-0.159707854440561,1.58205567119833e-05,-4.31694219574675
ABCC5,ABCC5,0.465551397548768,6.77402601371344e-05,3.98408627808951
ABCC9,ABCC9,0.709826305281601,1.19930237176362e-15,8.00452341280947
ABCD2,ABCD2,3.83719922112717,1.62519527879867e-68,17.4928176634864
ABCD3,ABCD3,0.029736520376469,0.608975690356673,0.511536137972848
ABCD4,ABCD4,0.725840516576963,0.00462925422578683,2.83176026510539
