,gene,logfc,pvalue,stat
A1BG,A1BG,-0.13471411065349,0.430935128564988,-0.787592456419358
A1BG-AS1,A1BG-AS1,0.51105855683525,0.000179719011187707,3.74594074637207
A1CF,A1CF,0.788825719648336,0.000325063488712755,3.59446127391211
A2M,A2M,1.92458843619045,3.42073257079396e-30,11.4174632332109
A2M-AS1,A2M-AS1,1.48095278684236,1.65330205332443e-09,6.02865459306276
A2ML1,A2ML1,0.795681127572226,2.27560035161917e-13,7.33151812791165
AAAS,AAAS,0.185536776363152,0.199784312392015,1.28216630812456
AACS,AACS,-0.0536756955382737,0.0418829340234524,-2.03468146848246
AADAT,AADAT,-0.00840863706349558,0.546470581514625,-0.603057284461151
AAED1,AAED1,-0.311439014365472,0.000667230116136143,-3.40270200183272
AAGAB,AAGAB,-0.00181407285193039,0.414371596828154,-0.816224762103734
AAK1,AAK1,0.289722918490147,2.70375436146343e-07,5.14300707511543
AAMDC,AAMDC,-0.120682544591977,0.225020318001296,-1.2132864594773
AAMP,AAMP,-0.0197447566107155,5.14682470557847e-05,-4.04885760024564
AAR2,AAR2,0.00532718348220346,0.354643441756972,0.925620104146767
AARD,AARD,0.239208955959737,2.06522040643547e-07,5.19336921238603
AARS,AARS,-1.08136779746613,8.60727032396488e-22,-9.59238412854933
AARS2,AARS2,0.18706343682816,0.00305221387489995,2.96242981256188
AARSD1,AARSD1,-0.441732181260927,0.0121581686285376,-2.50752004237761
AASDH,AASDH,0.424146300590168,1.28492747169692e-06,4.84207113155605
AASDHPPT,AASDHPPT,0.0582375636161238,0.100260749422986,1.64359082981562
AASS,AASS,1.00304817024778,6.8727408866093e-24,10.0785578609029
AATF,AATF,-1.11029502215824,2.93477873745893e-14,-7.60116445292247
ABAT,ABAT,0.227568003931459,0.058231018364737,1.89395473469746
ABCA1,ABCA1,1.27044260494986,2.73270611011602e-41,13.4588130641546
ABCA10,ABCA10,1.16904529623622,2.94212999994461e-09,5.9347949324755
ABCA11P,ABCA11P,0.0847114717925618,0.24324811091567,1.16690654890522
ABCA13,ABCA13,1.12823745753529,1.10703477387131e-09,6.09315976527941
ABCA5,ABCA5,0.769576381340372,3.69298657064033e-08,5.50493778787316
ABCA6,ABCA6,4.18932928920634,5.3659654688064e-129,24.1636526368539
ABCA8,ABCA8,3.17993136716499,4.55016627594389e-35,12.3554827171117
ABCA9,ABCA9,2.31767794434871,1.96228075341122e-65,17.0837120809162
ABCB10,ABCB10,-0.576483169758285,0.0220893887508677,-2.28882729772079
ABCB5,ABCB5,1.04238908818426,1.68809245458405e-17,8.51346652386257
ABCB6,ABCB6,0.307988088527894,0.0134148112154183,2.47256287960422
ABCB7,ABCB7,0.0911003871249475,0.421109219528249,0.804498354077112
ABCB8,ABCB8,0.598736205297884,0.0243035299721632,2.25229667781133
ABCC1,ABCC1,0.151639792664791,0.0738235625034239,1.78770532294426
ABCC10,ABCC10,0.49237650661914,0.0083082878857687,2.63927775529794
ABCC13,ABCC13,0.240345494290638,0.116023627667236,1.57168497817705
ABCC2,ABCC2,0.81977335374772,7.94384694370533e-07,4.93674194874531
ABCC3,ABCC3,1.40723260270123,2.72085790110086e-15,7.90308413891063
ABCC4,ABCC4,-0.0338296937370225,0.273464914521528,-1.0951180668454
ABCC5,ABCC5,0.467020814929837,9.39052653429058e-06,4.43075147552437
ABCC9,ABCC9,0.732613728042562,5.56552879389387e-19,8.90038103952963
ABCD2,ABCD2,3.79446794259649,2.82424459086278e-82,19.2140372445752
ABCD3,ABCD3,0.0479256044101047,0.383881009112971,0.870767692145131
ABCD4,ABCD4,0.258144450812402,0.00227559959957657,3.05168606919344
ABCE1,ABCE1,-0.297635301131327,2.96716350634418e-07,-5.12552083469039
ABCF1,ABCF1,-0.0286143572976081,0.0348429783294043,-2.11017856240054
ABCF2,ABCF2,0.137986388889172,0.0399221325989554,2.05455368941885
ABCF3,ABCF3,-0.416645570673881,0.0802730643011333,-1.74910388218122
ABCG1,ABCG1,0.882577954810785,6.40546369467267e-09,5.80581243655418
ABHD10,ABHD10,-0.193290428407079,0.115175325607731,-1.57535153076068
ABHD11,ABHD11,0.525765686389827,4.08942579759232e-05,4.1023683312957
ABHD12,ABHD12,-0.00618087406174805,0.877327008874378,-0.154358582130724
ABHD13,ABHD13,0.363124099069575,0.0477910073856431,1.97922208552834
ABHD14A,ABHD14A,0.172332171479389,0.0520335112641299,1.94285639898248
ABHD14A-ACY1,ABHD14A-ACY1,-0.075819017178436,0.26005800361585,-1.1262540444752
ABHD14B,ABHD14B,0.0295734828762131,0.280635970040119,1.0788917880822
ABHD15,ABHD15,0.267840021304617,0.000315594580610085,3.60215130097919
ABHD16A,ABHD16A,0.291696112546725,0.0984026405593936,1.65264742321794
ABHD17B,ABHD17B,0.145557171848011,0.0971643503958946,1.6587590732635
ABHD17C,ABHD17C,-0.141940481318505,1.37144105251482e-05,-4.34838435044712
ABHD2,ABHD2,0.199088593005583,0.0691701595442506,1.81730673331637
ABHD3,ABHD3,1.01152750624312,1.49560356901119e-09,6.04483783229818
ABHD4,ABHD4,-0.0225908985476804,0.276203005388729,-1.08888861958892
ABHD5,ABHD5,0.703259759315921,1.3958526319524e-07,5.26579330783554
ABHD6,ABHD6,-0.00528746655491495,0.126459461215785,-1.52821380951765
ABI1,ABI1,0.559562694020421,0.0226012248176289,2.28010899600687
ABI2,ABI2,0.293850165603742,0.000141319003911981,3.80584826753425
ABI3BP,ABI3BP,0.20264472341318,4.89446344049611e-05,4.06061017239224
ABL1,ABL1,-0.563481155115816,8.74879442890317e-10,-6.13070964974007
ABL2,ABL2,0.243975898228695,1.44613746102583e-07,5.25928863509113
ABLIM1,ABLIM1,1.39982616320257,4.96513581385681e-10,6.22020252291705
ABLIM3,ABLIM3,-0.00443234871900829,0.141124440062945,-1.47161660094996
ABR,ABR,-0.00560189747430387,0.699079803239273,-0.386562933686592
ABRA,ABRA,0.0330412095160618,2.2772827762396e-05,4.23581099087094
ABRACL,ABRACL,-1.03099323731196,6.86911048907712e-13,-7.18201555296026
ABT1,ABT1,-0.721226408617757,0.00466226041903393,-2.82948761697155
ABTB2,ABTB2,-1.50639823929417,3.67403699726053e-08,-5.5058440339199
ACAA1,ACAA1,0.0592055366635108,0.235161234686715,1.18716831870609
ACAA2,ACAA2,-0.150515072024935,0.21562822131953,-1.23823693157476
ACACA,ACACA,0.263243619189516,0.000243101570218702,3.66941981873562
ACACB,ACACB,3.24297108783597,2.97742583346107e-85,19.5666278064409
ACAD10,ACAD10,0.170435969473246,0.0130763903420066,2.48168202790153
ACAD11,ACAD11,0.336377227158841,0.0114530764266067,2.52856228085045
ACAD8,ACAD8,0.0135814109455213,0.721636623975516,0.356272336813156
ACAD9,ACAD9,-0.0606579360625481,0.481486627818423,-0.703913525507432
ACADM,ACADM,0.247083236857615,0.000580223120472379,3.44069455906843
ACADSB,ACADSB,0.713663701450556,2.73321672941938e-11,6.66027178415555
ACADVL,ACADVL,0.636640286235487,1.35031921312175e-21,9.54582240598162
ACAP2,ACAP2,-0.0479619805883892,0.0476566753616918,-1.98041714180441
ACAT1,ACAT1,-0.111204554173599,0.00806697083783253,-2.64925386983991
ACAT2,ACAT2,0.111808653415928,0.224729519849578,1.2140476735366
ACBD3,ACBD3,-0.600889259141477,3.33153149996228e-08,-5.52305618015406
ACBD4,ACBD4,0.938368449585243,3.277196460641e-05,4.15329650927851
ACBD5,ACBD5,0.051558435729875,0.0106138581462069,2.55516136262276
ACBD6,ACBD6,-0.441194819708041,0.00295388092231063,-2.97249700484465
ACBD7,ACBD7,0.891720664800869,1.34651737391034e-15,7.99026249649102
ACCS,ACCS,0.563479918141494,0.00333859414170275,2.93471012971494
ACD,ACD,-0.0296377231229204,0.037174824234596,-2.08383889320463
ACER3,ACER3,0.398767687874264,0.000236468471023453,3.67648638349228
ACIN1,ACIN1,0.411163763732401,1.02714046470237e-06,4.88636625264753
ACLY,ACLY,-0.101681767991351,0.113002438138365,-1.58484111542457
ACN9,ACN9,-0.75258218606032,0.0145519139876049,-2.44334264314974
ACO1,ACO1,-0.22966283725192,0.0465529444135112,-1.99034499716593
ACO2,ACO2,0.00291265711501435,0.934557179530666,0.0821125925546792
ACOT1,ACOT1,0.243250311102578,0.0352058127407819,2.1059831879411
ACOT13,ACOT13,0.0647186981556002,0.331277189400255,0.971544530576033
ACOT2,ACOT2,0.2502151054055,0.0115754327744339,2.52482982251334
ACOT7,ACOT7,-1.05323281941905,1.29111948713288e-11,-6.76963023204278
ACOT8,ACOT8,-1.04638674074286,1.54327438197528e-05,-4.32241944437901
ACOT9,ACOT9,-0.198354527376853,0.0199301336610883,-2.32766058452411
ACOX1,ACOX1,0.515181762623694,1.67411783769381e-10,6.38859958714112
ACOX2,ACOX2,-0.505328991959062,0.0700202375609384,-1.81177973504765
ACOX3,ACOX3,-0.454271934290981,0.0116074483051707,-2.52385897483622
ACP1,ACP1,-0.312698420252352,3.94128302066933e-07,-5.07177205831751
ACP2,ACP2,0.23934506826074,0.000277112826040706,3.6358060015294
ACPL2,ACPL2,-0.432960476886771,0.102472629787866,-1.63298272581272
ACRC,ACRC,-0.00231283454180692,0.00582223939730278,-2.75762811064813
ACSF2,ACSF2,0.241534305216653,0.0159512046196976,2.41003009622672
ACSL1,ACSL1,2.40354118516234,9.91066237332302e-129,24.1382918216652
ACSL3,ACSL3,0.219032854400728,0.0116737262923319,2.52185667027609
ACSL4,ACSL4,0.0666018630011844,0.0478283441794438,1.97889042815017
ACSL5,ACSL5,0.249546040203626,0.00266728526658475,3.00368819717725
ACSL6,ACSL6,0.260835157565013,9.29238856610645e-07,4.90606047256421
ACSS1,ACSS1,1.14997260516421,1.12164602491903e-06,4.8689996569303
ACSS2,ACSS2,0.133122933925476,0.00234369398064614,3.04282395626368
ACSS3,ACSS3,0.550510999885654,0.00766952644340279,2.66628228496904
ACTA1,ACTA1,-0.270838807524079,0.0268710163257342,-2.21338641672829
ACTA2,ACTA2,-1.43484239039362,2.23626853969203e-48,-14.6155241040473
ACTB,ACTB,-1.12214484403802,5.319298423273e-38,-12.887120635331
ACTC1,ACTC1,-1.01802721316896,1.56798036284583e-11,-6.74146451216191
ACTG1,ACTG1,-0.813755141259478,9.88829732755808e-26,-10.4872318713353
ACTG1P4,ACTG1P4,-0.965800905627904,2.39403321724577e-11,-6.67971747961282
ACTL6A,ACTL6A,0.303006266274897,0.000101993262218792,3.88580045166889
ACTN1,ACTN1,-1.05374928830944,1.00733643340049e-31,-11.7199481405926
ACTN4,ACTN4,-1.36478008706263,1.2741197383378e-14,-7.70839290497413
ACTR10,ACTR10,-0.128521026397131,0.0215812177171972,-2.29765877333509
ACTR1A,ACTR1A,-0.665694643404771,1.81376820509093e-09,-6.01366349491322
ACTR1B,ACTR1B,-0.428799420437096,0.000296253113173079,-3.61855450297701
ACTR2,ACTR2,-1.04811637780917,1.4984868617327e-38,-12.9844819352458
ACTR3,ACTR3,-0.894238310480722,4.57359092168768e-30,-11.3921879175281
ACTR3B,ACTR3B,-0.174999956251541,0.0855454174777282,-1.71937881333355
ACTR3C,ACTR3C,0.104862234070047,0.751640081080501,0.316477525737726
ACTR5,ACTR5,0.801589809823432,0.0135424134959028,2.46917721146511
ACTR6,ACTR6,0.0900033165887636,0.124143397468827,1.53761246657495
ACTR8,ACTR8,0.218223787833184,0.000160815784444576,3.77374399801822
ACTRT3,ACTRT3,-0.797126017869131,0.00514678690507627,-2.7977001441374
ACVR1,ACVR1,0.159530343102981,0.0789045211099913,1.75707796441927
ACVR1B,ACVR1B,0.875097280505449,4.36250502042272e-05,4.087391546395
ACVR2A,ACVR2A,-0.0238051268792154,4.21302222105045e-10,-6.24592391927352
