,gene,logfc,pvalue,stat
ENSG00000237683,ENSG00000237683,-0.511018187284621,0.019136437201744,-2.34286243940498
ENSG00000188976,ENSG00000188976,0.124971745856761,0.111691529418091,1.5906359482232
ENSG00000187961,ENSG00000187961,-0.202992526566464,0.343345500306036,-0.947575702824474
ENSG00000187608,ENSG00000187608,0.414584669313458,5.59592646210823e-06,4.54110833931871
ENSG00000188157,ENSG00000188157,-0.416204577119558,3.10215690123866e-09,-5.92609895750354
ENSG00000131591,ENSG00000131591,0.0920305040529017,0.729768788374408,0.345433110998084
ENSG00000078808,ENSG00000078808,-0.210221728559386,0.0307853052909664,-2.15983680544596
ENSG00000176022,ENSG00000176022,-0.318439015057509,0.0184858508158885,-2.35574000965884
ENSG00000160087,ENSG00000160087,0.0989254710787742,0.280626370542285,1.07891331959344
ENSG00000131584,ENSG00000131584,-0.127355145450451,0.508897079255687,-0.660556023403762
ENSG00000169972,ENSG00000169972,0.167937081753023,0.109229947403391,1.60166392134436
ENSG00000127054,ENSG00000127054,0.0914065233511352,0.195010778350814,1.29589756477387
ENSG00000224051,ENSG00000224051,-0.194768300591714,0.220158272788819,-1.22610736996191
ENSG00000107404,ENSG00000107404,0.0956151958148955,0.417252614866273,0.811196883846917
ENSG00000162576,ENSG00000162576,-0.235812544235095,0.0826643193367317,-1.73543198232344
ENSG00000175756,ENSG00000175756,0.304824127094576,1.90571378758524e-12,7.04121449054268
ENSG00000221978,ENSG00000221978,-0.0271297539988303,0.637850532393482,-0.470706233446206
ENSG00000224870,ENSG00000224870,-0.172600694089619,0.184513994700548,-1.32698394179025
ENSG00000242485,ENSG00000242485,0.0804647347723133,0.00526091266725238,2.79060811515314
ENSG00000235098,ENSG00000235098,-0.26002152042161,0.281337646094287,-1.07731929285982
ENSG00000179403,ENSG00000179403,-0.0184187993999972,0.837540906424952,-0.205039957725169
ENSG00000215915,ENSG00000215915,-0.356131905330681,0.196145467842555,-1.29261147785735
ENSG00000160072,ENSG00000160072,-0.386129000347663,0.000787237908860816,-3.3572433528907
ENSG00000197785,ENSG00000197785,-0.133116787717651,0.191426769287229,-1.30636998082325
ENSG00000160075,ENSG00000160075,0.0818161519657245,0.0447068736979897,2.00740202207295
ENSG00000228594,ENSG00000228594,0.218092949263749,0.117736810566714,1.5643439731323
ENSG00000197530,ENSG00000197530,-0.35386696474546,0.0694807470560716,-1.81528093666485
ENSG00000248333,ENSG00000248333,0.0809918167880394,0.251952611383482,1.14561953335051
ENSG00000189339,ENSG00000189339,-0.0336166960212583,0.681327319630082,-0.410652557132056
ENSG00000008128,ENSG00000008128,0.0203840035959251,0.646614451738398,0.458470500042369
ENSG00000008130,ENSG00000008130,-0.16246848100453,0.223497620279712,-1.21728021254653
ENSG00000078369,ENSG00000078369,0.0633102495183058,0.10049215905925,1.64247231492355
ENSG00000178821,ENSG00000178821,0.142655228278747,0.435383317274712,0.780012840308247
ENSG00000067606,ENSG00000067606,-0.296236153188119,0.0265743238370049,-2.21771422328366
ENSG00000162585,ENSG00000162585,0.320148626634666,7.88827683182912e-05,3.94776928393647
ENSG00000203301,ENSG00000203301,-0.382942295681194,0.326789282658684,-0.98060152369733
ENSG00000157933,ENSG00000157933,0.0461430509489906,0.668064163825876,0.428806341081825
ENSG00000116151,ENSG00000116151,-0.175312494320316,0.319895555642304,-0.994672536859662
ENSG00000157916,ENSG00000157916,0.0691708774460823,0.291521017272869,1.05479079100856
ENSG00000157911,ENSG00000157911,-0.0322005562093799,0.799000407107655,-0.254640976999554
ENSG00000157881,ENSG00000157881,-0.315172033030036,0.0668122036228274,-1.83293523125088
ENSG00000157870,ENSG00000157870,-0.0612480545254331,0.596649246213443,-0.529225187221888
ENSG00000130762,ENSG00000130762,-0.0386626212249054,0.709075023743244,-0.373098649541264
ENSG00000162591,ENSG00000162591,0.382511252641422,0.353976614470242,0.926903548854326
ENSG00000158109,ENSG00000158109,-0.0878880086243635,0.350712300907268,-0.933208550330325
ENSG00000116213,ENSG00000116213,-0.248982887822355,0.0347527021121409,-2.1112281993554
ENSG00000130764,ENSG00000130764,-0.00568944844750041,0.958330360564953,-0.0522489112773264
ENSG00000116198,ENSG00000116198,-0.0185116625705429,0.863799935029099,-0.171539041065196
ENSG00000169598,ENSG00000169598,-0.210740477015249,0.22301809465976,-1.21854194667096
ENSG00000198912,ENSG00000198912,0.029625628313694,0.694659426339968,0.392539777919448
ENSG00000196581,ENSG00000196581,-0.244350791009614,0.143155726325944,-1.46413990359472
ENSG00000131697,ENSG00000131697,-0.539338706341319,6.97689158914088e-07,-4.96200578824176
ENSG00000069424,ENSG00000069424,-0.106496063694266,0.648427895643414,-0.455947271390757
ENSG00000116251,ENSG00000116251,0.0311356109954478,0.190354461834402,1.30953124272111
ENSG00000158286,ENSG00000158286,0.656859081039518,0.0670684630329335,1.83121497093939
ENSG00000116237,ENSG00000116237,0.101154302697098,0.0531160421572763,1.93397629753344
ENSG00000158292,ENSG00000158292,-0.0857958277918012,0.52311129567268,-0.638556794698926
ENSG00000097021,ENSG00000097021,0.0005514582966159,0.973374994109776,0.0333756916549266
ENSG00000187017,ENSG00000187017,-0.164451440027674,0.577355633848191,-0.557251461473596
ENSG00000215788,ENSG00000215788,-0.275700423189247,0.259540838239716,-1.12747705044467
ENSG00000171680,ENSG00000171680,-0.565684695532285,0.00595996951848992,-2.74997564026523
ENSG00000162408,ENSG00000162408,0.0864182349094974,0.215689250064268,1.23807230993261
ENSG00000204859,ENSG00000204859,0.209618530534636,0.210200366072851,1.25301467503163
ENSG00000162413,ENSG00000162413,-0.132900347531841,0.208050774265112,-1.25894340576844
ENSG00000116273,ENSG00000116273,-0.0767148163008216,0.334052142148672,-0.965984090275323
ENSG00000041988,ENSG00000041988,0.3797329121084,0.00261720078941807,3.0094512470027
ENSG00000007923,ENSG00000007923,0.251205900211929,0.000121528699384213,3.84302173903212
ENSG00000171735,ENSG00000171735,0.0664981660521448,0.0394174614561343,2.05980212395661
ENSG00000049245,ENSG00000049245,0.228051782416489,0.00819990461312728,2.64372582740702
ENSG00000049246,ENSG00000049246,-0.768149953260577,2.33671761395354e-06,-4.72188242353646
ENSG00000116288,ENSG00000116288,0.0775713347053641,0.000903915384037128,3.3188420623997
ENSG00000116285,ENSG00000116285,-0.257668234630724,0.0104467348274168,-2.56068060663079
ENSG00000162426,ENSG00000162426,-1.68181505804789,6.82573579332619e-05,-3.98227979062349
ENSG00000142599,ENSG00000142599,-0.49340186818234,1.24504717927554e-15,-7.99991540684275
ENSG00000074800,ENSG00000074800,0.0601304739809573,0.00108530353922759,3.26742569020434
ENSG00000180758,ENSG00000180758,-0.585811681699798,0.136319106357599,-1.48963928627622
ENSG00000049239,ENSG00000049239,0.927911863517846,6.65486463378889e-05,3.9882993844463
ENSG00000171621,ENSG00000171621,-0.359958101856771,0.334942892685846,-0.964205529496049
ENSG00000171612,ENSG00000171612,0.092241558711176,0.312395779498878,1.01020772391437
ENSG00000188807,ENSG00000188807,-0.00907682079874489,0.878266547810961,-0.15316704176563
ENSG00000171608,ENSG00000171608,-0.00964953597737454,0.913234125086333,-0.108960115575063
ENSG00000171603,ENSG00000171603,-0.101566780982267,0.102786131769789,-1.63149396722233
ENSG00000178585,ENSG00000178585,-0.0561078298398283,0.529507538382397,-0.628757941889587
ENSG00000162441,ENSG00000162441,-0.0108379491538688,0.897927060305064,-0.128280419175049
ENSG00000173614,ENSG00000173614,0.270122604407679,0.130241622834709,1.51314975831826
ENSG00000162444,ENSG00000162444,0.00523832436406475,0.958154302630342,0.0524698698483164
ENSG00000130939,ENSG00000130939,-0.0582249796255814,0.367203263376864,-0.901724446467273
ENSG00000054523,ENSG00000054523,-0.0105590934724178,0.87037561801892,-0.163181390523509
ENSG00000142657,ENSG00000142657,0.0612953945302723,0.103234499384959,1.62937102219683
ENSG00000175279,ENSG00000175279,-0.0227811060352398,0.841170702844629,-0.200396236227796
ENSG00000160049,ENSG00000160049,0.161887807020799,0.000181827536014043,3.74301200823999
ENSG00000142655,ENSG00000142655,0.138037982554965,0.250089229429513,1.15013267700241
ENSG00000130940,ENSG00000130940,-0.638182845970718,0.00821434265180851,-2.64313026065596
ENSG00000120948,ENSG00000120948,0.059897977915395,0.102263106934154,1.6339797295959
ENSG00000009724,ENSG00000009724,-0.842642744257032,0.0235619564319866,-2.2641977253639
ENSG00000116649,ENSG00000116649,0.0951722060705886,0.0722518471687357,1.79752793654383
ENSG00000171824,ENSG00000171824,-0.0688272894929833,0.310195387313441,-1.01481213658736
ENSG00000198793,ENSG00000198793,0.0114904696380526,0.87739269412706,0.154275271792842
ENSG00000120942,ENSG00000120942,0.110874002122046,0.196046225670152,1.29289832859978
ENSG00000204624,ENSG00000204624,-0.0796637020086515,0.703441242392364,-0.380679284118356
ENSG00000116661,ENSG00000116661,-0.152363453531654,0.254092940074656,-1.14046424627142
ENSG00000132879,ENSG00000132879,-0.568860143737866,9.67035120520848e-05,-3.89871750896156
ENSG00000116670,ENSG00000116670,-0.0430832031319305,0.330951695698645,-0.972198723104867
ENSG00000162490,ENSG00000162490,-0.270858257857033,0.000774730261468825,-3.36166866258395
ENSG00000177674,ENSG00000177674,-0.112574809020525,0.0368491889792449,-2.08743103556158
ENSG00000215910,ENSG00000215910,-0.424254585135102,0.254125394130432,-1.14038630920343
ENSG00000177000,ENSG00000177000,0.107513479345921,0.336638382478174,0.960828546945828
ENSG00000011021,ENSG00000011021,-0.113876790570976,0.25570714316013,-1.13659616699426
ENSG00000116685,ENSG00000116685,0.11384052632384,0.219693620019264,1.22734321367687
ENSG00000083444,ENSG00000083444,0.101743059040227,0.26346888094047,1.11822975093096
ENSG00000116688,ENSG00000116688,0.0302173150165342,0.662906849877095,0.435903356329364
ENSG00000116691,ENSG00000116691,-0.0845877794588632,0.1773786756763,-1.34887015580371
ENSG00000120949,ENSG00000120949,-0.553101854695227,2.04695081200214e-06,-4.74873288822232
ENSG00000028137,ENSG00000028137,-1.39549380883089,3.97956219983747e-05,-4.10866303628515
ENSG00000048707,ENSG00000048707,-0.429186973151439,0.000108277652299589,-3.87125229288947
ENSG00000162496,ENSG00000162496,0.0343533590394218,0.729170658538399,0.346228951486575
ENSG00000179172,ENSG00000179172,-0.908724534175192,7.67022406238268e-17,-8.33622139976644
ENSG00000162493,ENSG00000162493,-0.436675645965935,6.11002320064375e-14,-7.50570208493136
ENSG00000116731,ENSG00000116731,-0.0690678208389563,0.506481117167448,-0.664326885369169
ENSG00000189337,ENSG00000189337,-0.916622288473383,1.12032324437809e-08,-5.71142765067582
ENSG00000171729,ENSG00000171729,-0.172959264884649,0.164236070463756,-1.39096490085733
ENSG00000142621,ENSG00000142621,-0.273944030739245,0.442495460116319,-0.767986071128916
ENSG00000142634,ENSG00000142634,-0.0837880601597619,0.474502063393406,-0.715173141052231
ENSG00000132906,ENSG00000132906,0.388391859118188,0.00180458450295511,3.12064007448475
ENSG00000116138,ENSG00000116138,-0.171316351650596,0.0493777264671265,-1.96531555393022
ENSG00000116771,ENSG00000116771,0.0821820186512606,0.650999564230423,0.452374013823907
ENSG00000197312,ENSG00000197312,-0.143405452584274,0.0194439391034071,-2.33690856116295
ENSG00000116786,ENSG00000116786,0.000201920949284616,0.933255762859527,0.0837492952271598
ENSG00000162458,ENSG00000162458,-0.241671432410998,0.00108985638311267,-3.26624051947166
ENSG00000065526,ENSG00000065526,-0.088509192506396,0.167368715056045,-1.38070814784437
ENSG00000116809,ENSG00000116809,-0.167046743314972,0.196739936309402,-1.29089544153932
ENSG00000186510,ENSG00000186510,-0.768908608523791,0.0544294343080114,-1.92340318776094
ENSG00000142627,ENSG00000142627,-0.480126301062377,0.000371348738670776,-3.55965045314532
ENSG00000142632,ENSG00000142632,-0.638653678428652,6.51586086358789e-10,-6.17741748821005
ENSG00000037637,ENSG00000037637,-0.240297120546214,0.00827818046757262,-2.64050813727813
ENSG00000055070,ENSG00000055070,-0.0699413820741808,0.305739977088673,-1.02420178234197
