,gene,logfc,pvalue,stat
ENSG00000237683,ENSG00000237683,-0.462340783882747,0.0225127766721402,-2.28160321614597
ENSG00000188976,ENSG00000188976,0.0733949081876022,0.323903282080325,0.986468466044735
ENSG00000187961,ENSG00000187961,-0.227403205909689,0.255748579225614,-1.13649709843529
ENSG00000187608,ENSG00000187608,0.372419044340822,3.54281755926265e-05,4.13543573337066
ENSG00000188157,ENSG00000188157,-0.45333158405769,2.81179482331352e-11,-6.65610496416631
ENSG00000131591,ENSG00000131591,-0.00196798275454535,0.926337636226138,-0.092453623755009
ENSG00000078808,ENSG00000078808,-0.205904021810463,0.036055805504188,-2.0962975325197
ENSG00000176022,ENSG00000176022,-0.281564394901886,0.0305346936338439,-2.16308433612945
ENSG00000160087,ENSG00000160087,0.0909320117241815,0.310789520666951,1.01356676993008
ENSG00000131584,ENSG00000131584,-0.0902533011567152,0.572782533236494,-0.563958268541032
ENSG00000169972,ENSG00000169972,0.131781489792321,0.1924766921542,1.30328730907333
ENSG00000127054,ENSG00000127054,0.0931458742100218,0.173831247229711,1.35999581819077
ENSG00000224051,ENSG00000224051,-0.238867082206704,0.157230552711606,-1.41444749685963
ENSG00000107404,ENSG00000107404,0.0885850096180885,0.466714525834989,0.727835115523423
ENSG00000162576,ENSG00000162576,-0.220683538402291,0.107292625150737,-1.61048221441777
ENSG00000175756,ENSG00000175756,0.277292816215186,4.41466550814261e-10,6.23861339418152
ENSG00000221978,ENSG00000221978,-0.0484538961363306,0.402001465941652,-0.838052059601634
ENSG00000224870,ENSG00000224870,-0.226317718789588,0.0901256687905033,-1.69473518000418
ENSG00000242485,ENSG00000242485,0.0768742829541528,0.00712704038431699,2.69084919472572
ENSG00000235098,ENSG00000235098,-0.206484815794988,0.32162188874918,-0.991130444506562
ENSG00000179403,ENSG00000179403,-0.0250841127314797,0.833847199035749,-0.209769986671388
ENSG00000215915,ENSG00000215915,-0.524557636233877,0.066277343439731,-1.83654330576543
ENSG00000160072,ENSG00000160072,-0.420648069282291,0.000249635246251993,-3.66263384161115
ENSG00000197785,ENSG00000197785,-0.104012802045456,0.283186186658763,-1.07318930861986
ENSG00000160075,ENSG00000160075,0.0642168215802117,0.085929680593536,1.71727093184044
ENSG00000228594,ENSG00000228594,0.230051411491006,0.0914611346635395,1.68774007850167
ENSG00000197530,ENSG00000197530,-0.416181688302291,0.0191203150664064,-2.34317689884854
ENSG00000248333,ENSG00000248333,0.0580367329782152,0.3953169259562,0.850014677668636
ENSG00000189339,ENSG00000189339,-0.0703505859774846,0.537704542401225,-0.61628787118678
ENSG00000008128,ENSG00000008128,-0.0130068265088395,0.829441897681627,-0.215417409647037
ENSG00000008130,ENSG00000008130,-0.174247133716267,0.207590506610979,-1.26021862278956
ENSG00000078369,ENSG00000078369,0.0487637265546946,0.180711488836909,1.33856757195581
ENSG00000178821,ENSG00000178821,0.122799436904879,0.465660297504674,0.729558172230614
ENSG00000067606,ENSG00000067606,-0.323571183491387,0.0215714198937582,-2.29783082024744
ENSG00000162585,ENSG00000162585,0.28794861644001,0.000221556732517068,3.69307719411745
ENSG00000203301,ENSG00000203301,-0.535988158200007,0.072067852678201,-1.79868923531136
ENSG00000157933,ENSG00000157933,0.0357055572029098,0.710636898494569,0.371000850158739
ENSG00000116151,ENSG00000116151,-0.221658492983638,0.276746711978883,-1.08765664964253
ENSG00000157916,ENSG00000157916,0.0410687178425396,0.449590882233504,0.756097264031719
ENSG00000157911,ENSG00000157911,-0.00566388216358947,0.931512234939916,-0.0859423634087833
ENSG00000157881,ENSG00000157881,-0.323079924917601,0.0720822978085516,-1.79859797571801
ENSG00000157870,ENSG00000157870,-0.0775794646435753,0.443687240171409,-0.765981617409813
ENSG00000130762,ENSG00000130762,-0.0317181839629286,0.7732108992792,-0.288177462998687
ENSG00000162591,ENSG00000162591,0.180928915469032,0.440697873552331,0.771015281923071
ENSG00000158109,ENSG00000158109,-0.0708937133509508,0.409313764803511,-0.825101858285265
ENSG00000116213,ENSG00000116213,-0.22273959844589,0.0478749022221708,-1.97847716445362
ENSG00000130764,ENSG00000130764,-0.006172101750407,0.918708355840907,-0.102060875230297
ENSG00000116198,ENSG00000116198,-0.0306843880164255,0.7148048680903,-0.365410682769318
ENSG00000169598,ENSG00000169598,-0.146617159119521,0.370229463856998,-0.896043625654033
ENSG00000198912,ENSG00000198912,0.0306157517841001,0.685454992998027,0.405030634373827
ENSG00000196581,ENSG00000196581,-0.221986971911454,0.134554725233296,-1.49637974324814
ENSG00000131697,ENSG00000131697,-0.442809729132241,0.00522097376028648,-2.79307405654308
ENSG00000069424,ENSG00000069424,-0.0719720717550002,0.677701398024788,-0.415601815432407
ENSG00000116251,ENSG00000116251,0.0249033209430602,0.255225232843045,1.13774917586208
ENSG00000158286,ENSG00000158286,0.871333987201827,0.0510028915383266,1.95145544389523
ENSG00000116237,ENSG00000116237,0.0990343497846227,0.0658412675535685,1.83950279248963
ENSG00000158292,ENSG00000158292,-0.113256400861045,0.306260985256943,-1.0230991152088
ENSG00000097021,ENSG00000097021,-0.0305922691231874,0.205547059577729,-1.26590510200023
ENSG00000187017,ENSG00000187017,-0.287102869655661,0.219080620791618,-1.22897648998747
ENSG00000215788,ENSG00000215788,-0.307201625919952,0.139580719947998,-1.47735418653938
ENSG00000171680,ENSG00000171680,-0.548400993878623,0.00882526073810388,-2.61874996520127
ENSG00000162408,ENSG00000162408,0.0732415775277181,0.261781707526509,1.12218989657459
ENSG00000204859,ENSG00000204859,0.161813461191805,0.320821707867303,0.99277070792961
ENSG00000162413,ENSG00000162413,-0.146913920599159,0.15094001782276,-1.43621905750116
ENSG00000116273,ENSG00000116273,-0.0914685362717259,0.247490249888001,-1.15646685379362
ENSG00000041988,ENSG00000041988,0.341613882925278,0.00578324071271801,2.759824573291
ENSG00000007923,ENSG00000007923,0.240851760774746,0.000143499404948384,3.80205751096402
ENSG00000171735,ENSG00000171735,0.0677198813147287,0.0278514492036189,2.19937246029365
ENSG00000049245,ENSG00000049245,0.21780635545488,0.00822697792183166,2.64260982595296
ENSG00000049246,ENSG00000049246,-0.710802186349009,8.54861821378594e-06,-4.45096272159323
ENSG00000116288,ENSG00000116288,0.0655073888303487,0.00344452453528836,2.92500340559408
ENSG00000116285,ENSG00000116285,-0.251516283188932,0.0109178555000654,-2.54531706008989
ENSG00000162426,ENSG00000162426,-1.59488488739749,1.52458703657265e-05,-4.32510575478096
