,gene,logfc,pvalue,stat
Tspan12,Tspan12,-0.395917990013418,0.0503758599046319,-1.95675857203781
Tshz1,Tshz1,-0.0473922788154541,0.428913924586713,-0.791051525517199
Fnbp1l,Fnbp1l,0.0173448054069098,0.647190395997516,0.457668814721432
Adamts15,Adamts15,-0.0340279436750205,0.602024333276651,-0.521491632187318
Cldn12,Cldn12,0.166815813200124,0.113937124526613,1.58074163455955
Rxfp1,Rxfp1,-0.00429888287372604,0.40661884110195,-0.82985841120515
2310042E22Rik,2310042E22Rik,-0.542528212692424,0.0715450640765808,-1.80200217047429
Sema3c,Sema3c,-0.315581074899378,0.462939784453674,-0.734014690980863
Jam2,Jam2,0.170574484158538,0.299987661042718,1.03645985027458
Apbb1ip,Apbb1ip,-0.0651318360487717,0.854254724143995,-0.183692460206724
Frem2,Frem2,0.447770416301994,0.208954313217694,1.2564459984368
BC005764,BC005764,-0.0662871406187431,0.406239429076778,-0.830529583009956
Deptor,Deptor,-0.527123296126762,0.0414784925320884,-2.03871487270838
C130030K03Rik,C130030K03Rik,-0.0592122727431009,0.344896755841246,-0.94453415668717
Klhl13,Klhl13,-0.0312810880349078,0.6169623905278,-0.500160043356796
Tnfaip8l3,Tnfaip8l3,-0.189059783185604,0.137330341438295,-1.48580638257712
Ascl1,Ascl1,-0.00164943714894253,0.953610797638612,-0.0581730370740711
Atp1b2,Atp1b2,0.00405036032215122,0.774143011300005,0.286959917424857
Tmem132e,Tmem132e,-0.0764277444026778,0.496506733402473,-0.679996411017898
Prkar2b,Prkar2b,0.117637829416199,0.216056103957775,1.23708344822351
Necab1,Necab1,0.00527628105169656,0.713463636288531,0.367208316562476
Nr2f2,Nr2f2,-0.000358623201363042,0.872694072724136,-0.160237395364145
Stmn1-rs1,Stmn1-rs1,0.00262748601868453,0.799267266681854,0.2542955121218
Shisa9,Shisa9,0.0171284909500107,0.701589677414574,0.383175452845457
Sub1,Sub1,0.0218416179631425,0.487485962260997,0.694312964667392
Vat1l,Vat1l,2.421321172481e-08,0.999690938193078,0.000387351541605687
Pcdh18,Pcdh18,-0.753524861714374,0.0262655438392373,-2.22226289989409
Dpysl5,Dpysl5,0.000282809008968671,0.962943918405583,0.0464596193445464
Agtr2,Agtr2,-0.0192735973712218,0.960639617232096,-0.0493509493629956
Cxcl14,Cxcl14,-0.1409930442891,0.647927906360676,-0.456642666774776
Ptprf,Ptprf,-0.0855275573825609,0.177266268084133,-1.34922013868205
Cers5,Cers5,0.0211972275827072,0.362309089496921,0.910973968941803
Nacc2,Nacc2,0.140236910247897,0.199423786684614,1.28319494458913
Cntnap2,Cntnap2,0.0772380117983232,0.191684063006193,1.30561339438494
Asic4,Asic4,-0.200726844625232,0.713799007907808,-0.366758711733992
Tph2,Tph2,-0.999173690431851,0.113438051564699,-1.5829272296877
Rit2,Rit2,-0.0622365728614889,0.586918017840478,-0.543307621174413
Scg2,Scg2,-0.0498583474777114,0.743866683270157,-0.326737171320809
Nr2e1,Nr2e1,-1.18714766470104,0.035635738391072,-2.10105955832501
Bmp3,Bmp3,0.0441017204670295,0.575994244714406,0.559245411731845
B3galnt1,B3galnt1,-0.000265957074781742,0.979095493542219,-0.0262029116224628
Gm9846,Gm9846,0.0014092917203629,0.880412026537552,0.150446918918938
Kcnn1,Kcnn1,0.183440290868366,0.149451095391562,1.44147301571466
Fam19a2,Fam19a2,-0.00533892869975836,0.783927353851834,-0.274204651292449
Samd4,Samd4,0.179368678900698,0.550336991435918,0.597255227961615
Stmn1,Stmn1,-0.058340331505815,0.357261809884746,-0.920595198645874
Egln3,Egln3,-0.343352974321908,0.334801356197054,-0.964487931391151
Bmper,Bmper,0.342236243313976,0.473952842721025,0.716062362290106
Cd200,Cd200,-0.103391675478206,0.166755535655991,-1.38270435619878
